X,Y,Дельта,Питающий канал,Оползни,Конуса прорыва,Лопасти,Распределительный канал,Контуриты,is_well,well_name
469446,6996895,0.15610345238141823,0.08652083920525759,0.1700789470572205,0.1799863668314373,0.09918895659811675,0.15485895465562438,0.15326248327092531,False,None
469546,6996895,0.17611105121686016,0.11175445579060658,0.15431702377865553,0.14580441980599868,0.1108176846209002,0.1440071470257284,0.15718821776125053,False,None
469646,6996895,0.19557940802002727,0.15819176040482708,0.11824509193080404,0.13084759813398134,0.12136271445311686,0.12779413538385775,0.1479792916733857,False,None
469746,6996895,0.19717615665833593,0.21525240786502375,0.07619180629760933,0.14005426628448822,0.08889757566269044,0.15356975216140661,0.12885803507044574,False,None
469846,6996895,0.1626899827428333,0.2552707712741449,0.055962088112002234,0.12894383380876642,0.09357401164271492,0.1935444251745848,0.11001488724495348,False,None
469946,6996895,0.11750214214237076,0.23618248154420524,0.07018391492422488,0.11678916292246502,0.13535543581150009,0.2193573007014472,0.10462956195378684,False,None
470046,6996895,0.12370500425148354,0.16022907304347672,0.10594653310534494,0.12253801446960641,0.13248289453038622,0.2361177743756412,0.11898070622406098,False,None
470146,6996895,0.13920600135641226,0.1238630265999928,0.11391077772390897,0.14426078085002153,0.10745453649104098,0.22026377899165595,0.15104109798696755,False,None
470246,6996895,0.12836664257103467,0.1368817822054469,0.09165210389392167,0.17930184193416754,0.10330617487837301,0.17157718241032185,0.18891427210673445,False,None
470346,6996895,0.12905289654015878,0.14383262185136325,0.0810591032615489,0.1886108303479511,0.13790511065728084,0.1275441224030266,0.19199531493867059,False,None
470446,6996895,0.12862275095986372,0.1571283427776578,0.08290061400973348,0.16138620548297847,0.16280869566392034,0.12964431917962976,0.1775090719262164,False,None
470546,6996895,0.14154250438307764,0.15932240095924477,0.10401953165376328,0.13981742694616262,0.16246787549379973,0.12710050196891093,0.16572975859504108,False,None
470646,6996895,0.152559335844504,0.1603994876861093,0.12138813053107222,0.1583583177423484,0.1544660380770072,0.09685621069887469,0.15597247942008416,False,None
470746,6996895,0.12504584582035272,0.1719304126066953,0.15228908339438385,0.1520064078779854,0.17582830343844025,0.06432343442922835,0.1585765124329141,False,None
470846,6996895,0.06983650698959797,0.18943135265357874,0.1792073436283017,0.12600263642445686,0.22746761295532655,0.06831145804899541,0.1397430892997428,False,None
470946,6996895,0.054190554627683865,0.22444675876040293,0.15164287954468783,0.11255714749174515,0.2407905138158133,0.10874977733876777,0.10762236842089917,False,None
471046,6996895,0.07574381756827817,0.24637075084901675,0.12658487289629813,0.08905387299096147,0.16674185709401723,0.16370022320776978,0.13180460539365846,False,None
471146,6996895,0.1048473257977373,0.22036737466524206,0.11297019726890005,0.09210877860302513,0.09729249484908177,0.18937330926915996,0.1830405195468537,False,None
471246,6996895,0.16138922100076808,0.1546006650381649,0.10437558809175221,0.10977453545571167,0.09998801346685539,0.17347661120686247,0.19639536573988542,False,None
471346,6996895,0.21473104184028902,0.12730516514081616,0.09792580481509652,0.1079521218131827,0.12090119765806345,0.16351484741707845,0.16766982131547387,False,None
471446,6996895,0.21749204540157346,0.1749881935416246,0.10055065531859225,0.10211376242019948,0.11118804585520894,0.15558704467199275,0.13808025279080863,False,None
471546,6996895,0.1816306186875246,0.21179768729857246,0.12775683177302585,0.11071647833043279,0.09822464750980758,0.11230817056171365,0.15756556583892317,False,None
471646,6996895,0.17755668618772502,0.18995751967409277,0.1495977431983048,0.09587972634615019,0.07928622344292971,0.08328095656294862,0.22444114458784897,False,None
471746,6996895,0.21355777450766306,0.14257076297736812,0.15751814693313398,0.05940054168166556,0.08876042742697803,0.06885116110759532,0.26934118536559604,False,None
471846,6996895,0.2168385616954871,0.14312815360999837,0.12656096720737084,0.07856196992940839,0.12473329075642492,0.07254682520480839,0.2376302315965021,False,None
471946,6996895,0.18379288591946363,0.16358293560949846,0.09516677603367331,0.1521852560609509,0.13781078651297368,0.07934031690108041,0.1881210429623597,False,None
472046,6996895,0.14292286710755966,0.1769339394811582,0.10277079687589699,0.18647663523106867,0.1290940729655387,0.07836661042943235,0.18343507790934543,False,None
472146,6996895,0.1297317159831735,0.16979296248266978,0.10985696817872759,0.15251789246616,0.11501153285951624,0.10363078899261452,0.21945813903713837,False,None
472246,6996895,0.14767947160625006,0.1481527688349868,0.10578384899076025,0.10976871525600547,0.12514016824718627,0.11303675814726077,0.2504382689175504,False,None
472346,6996895,0.15074836349207757,0.13383324523552045,0.12359932742133518,0.10683130510737368,0.16730472852885195,0.08520898776302417,0.23247404245181702,False,None
472446,6996895,0.1532083689073322,0.13724168915532584,0.12828407023614335,0.13510864780933907,0.17657244703442004,0.07792888367982428,0.19165589317761536,False,None
472546,6996895,0.1522254088471428,0.1551983969471977,0.09609025806971211,0.13496570349436296,0.15734983279254244,0.12065222240326715,0.18351817744577492,False,None
472646,6996895,0.13556638744756316,0.1732489709634571,0.09015305074062248,0.09552390528534964,0.15150102823820405,0.16499709330304824,0.18900956402175545,False,None
472746,6996895,0.10440475393269721,0.18345075804664654,0.1482203350072559,0.06687616975246084,0.15688190194339824,0.1550908406304468,0.18507524068709447,False,None
472846,6996895,0.09622459066350113,0.15363391144422262,0.1942112781979095,0.06673825765632463,0.16037340311253373,0.13231927751851486,0.19649928140699355,False,None
472946,6996895,0.1357070411835327,0.10460933736196704,0.17525665672029542,0.06709400227231094,0.1843022952570658,0.13087298991736976,0.20215767728745834,False,None
473046,6996895,0.16276182826014535,0.0891740457269436,0.13045829771635845,0.08883865805740009,0.199922286465682,0.12959551236775585,0.19924937140571466,False,None
473146,6996895,0.13367179573642393,0.1152848286058764,0.10130968573146962,0.15622751617882313,0.16520354865763442,0.14652666562262817,0.18177595946714437,False,None
473246,6996895,0.1135739432667892,0.16032705937386,0.09596038375438386,0.20236649497178627,0.130995392159709,0.14877098105249162,0.14800574542098022,False,None
473346,6996895,0.13336969048922578,0.18212660277032372,0.12742927401801077,0.1972922192380037,0.11417103409061533,0.11558206120942796,0.1300291181843929,False,None
473446,6996895,0.19269452964659092,0.1689910424274166,0.1395910058699424,0.1727714669310571,0.09228793235985225,0.0660245208298054,0.1676395019353354,False,None
473546,6996895,0.23276086728655176,0.1566252685366874,0.11626106907103659,0.1648339417728665,0.09086373920465096,0.03769710907048331,0.20095800505772346,False,None
473646,6996895,0.2133705262832144,0.18713935128181747,0.09573587193571989,0.1568623552737467,0.11733629411738154,0.0543337805603875,0.1752218205477325,False,None
473746,6996895,0.15941902949163517,0.20624870197735568,0.12409460310984068,0.11487052784612994,0.13590411501953775,0.10678416398939233,0.15267885856610844,False,None
473846,6996895,0.11439658816560495,0.18655392725503456,0.19315282436609593,0.07431432642551665,0.1375265524741036,0.14340934288988438,0.15064643842375997,False,None
473946,6996895,0.0783646037021957,0.13909840155440337,0.22494969227893302,0.07761707234053752,0.15228169994630752,0.15060435619453233,0.17708417398309056,False,None
474046,6996895,0.0781640210147764,0.10421637974894432,0.22610097185161857,0.11036497919348232,0.1307583530355314,0.17773336916110488,0.17266192599454216,False,None
474146,6996895,0.09686651481157452,0.13412030533036953,0.2219948295093676,0.12258620751869229,0.10724629899430228,0.1864552543714483,0.1307305894642456,False,None
474246,6996895,0.07189669823795952,0.18315366397275462,0.2013867035204241,0.1050248029580341,0.14761434669436738,0.1668603861678549,0.1240633984486055,False,None
474346,6996895,0.03676956024721041,0.17186522365057297,0.18564179840299305,0.07402689073733293,0.20880178002560945,0.18338413126430614,0.13951061567197504,False,None
474446,6996895,0.04430791065669398,0.1121247479301562,0.18960072125132738,0.0913281224032794,0.24348793239422767,0.1875733101344233,0.13157725522989208,False,None
474546,6996895,0.07766506093400935,0.08418740285466862,0.17218361251429493,0.14029352309633783,0.2382377564265376,0.1373744396784355,0.15005820449571605,False,None
474646,6996895,0.09592484393199655,0.1306627922722753,0.1455126590236424,0.14117410421586668,0.21091584888727882,0.10812174208858208,0.16768800958035812,False,None
474746,6996895,0.08632184755241577,0.20043083732686717,0.11513202146647894,0.1207667500952329,0.17133598284576934,0.13956601804723237,0.16644654266600348,False,None
474846,6996895,0.05459222405223493,0.22912425886644477,0.11067204568659207,0.12300674145746711,0.14249681177183296,0.18225214220547842,0.15785577595994973,False,None
474946,6996895,0.030407345184005737,0.19198615073403125,0.16460000126333074,0.1784490701464983,0.129522099974068,0.19242504423612253,0.11261028846194354,False,None
475046,6996895,0.04331912331864066,0.14462628807400668,0.21596881825697606,0.2250127251776769,0.1372695066223685,0.1521412173437639,0.08166232120656729,False,None
475146,6996895,0.08856970620854432,0.15303491909552408,0.2005552595670761,0.19146319666386813,0.1567412468816094,0.12869000339513925,0.0809456681882388,False,None
475246,6996895,0.1275001602653255,0.17750855785085917,0.17004400184794616,0.11302696279722871,0.1656385127699603,0.14958356362032216,0.09669824084835804,False,None
475346,6996895,0.14755846597944428,0.15346502459203032,0.205393022719783,0.08025399390072288,0.1434605889152726,0.13724851053882547,0.1326203933539215,False,None
475446,6996895,0.16299022335662441,0.09616257922964247,0.24568276893822125,0.08214438056614376,0.14057572011977887,0.09592926806853644,0.17651505972105286,False,None
475546,6996895,0.14567298081173868,0.0633501266057338,0.24048811339166346,0.09387894502926578,0.17541835298052227,0.10313587248233724,0.17805560869873888,False,None
475646,6996895,0.12516427208447592,0.0720722093254981,0.212838810758183,0.12254560781761295,0.18056321723925012,0.13095855251551328,0.15585733025946674,False,None
475746,6996895,0.14771186716561419,0.10592777465708264,0.17891527054679426,0.15727206973427782,0.15044482847076385,0.11250204675079552,0.1472261426746717,False,None
475846,6996895,0.15824511744785852,0.12496035526643079,0.16689897974496176,0.1618572355461937,0.12785377730887088,0.11316057665573886,0.14702395802994547,False,None
475946,6996895,0.12532080402038065,0.12789830976190683,0.20618461761553242,0.14942018375217037,0.10947263824088985,0.1438221726350151,0.13788127397410477,False,None
476046,6996895,0.10934116529849748,0.14040589153324656,0.2315531567406414,0.15116882321327973,0.09309552035984535,0.14767425893524969,0.12676118391923988,False,None
476146,6996895,0.1411680676878112,0.1419104328343284,0.1985782058779624,0.16291533049793724,0.10187901127893664,0.10595781994649506,0.14759113187652917,False,None
476246,6996895,0.15556233399154035,0.12211774807061954,0.17181334973168338,0.17904441787981598,0.119627632827528,0.07247456315499562,0.17935995434381724,False,None
476346,6996895,0.13019923454843088,0.11906156368659734,0.15532630236263736,0.1906220482767578,0.13122381676217726,0.0906096749634378,0.1829573593999616,False,None
476446,6996895,0.1013489912604594,0.1429526335619184,0.11901900325210212,0.1573817061428136,0.1686696439137541,0.1578307936597574,0.15279722820919506,False,None
476546,6996895,0.07438505028386078,0.1176941146217893,0.13158525664473777,0.1318167753152063,0.21501145641636082,0.212544795735929,0.116962550982116,False,None
476646,6996895,0.08432421270892519,0.06519382370941504,0.17664545381610539,0.1352690115649344,0.21433326967197386,0.21739039464071397,0.10684383388793217,False,None
476746,6996895,0.132021228418292,0.04947724429524274,0.1939544934063258,0.12745226400581985,0.19279511009361794,0.20732639955136867,0.09697326022933302,False,None
476846,6996895,0.1455846668315313,0.07838570263515054,0.18029376022680837,0.12845892228814731,0.18470693415690753,0.17863711484624978,0.10393289901520522,False,None
